product_name,permit_number,permit_type,crop,target,purpose,dose,dose_unit,spray_volume,spray_volume_unit,bbch_min,bbch_max,treatment_time,phi,max_treatments,min_interval_days,expiry_date,latest_document,source_pdf,issue_reason
Benevia,6300/674-1/2019,alapengedely,paprika (hajtatott),"levéltetvek, üvegházi molytetű, tripszek, aknázó molyok, paradicsommoly",rovarölő szer,0.75,l/ha,600-1000,l/ha,12,89,két leveles állapottól a teljes érésig (BBCH 12-89) januártól decemberig,1,4,7,2027-09-14,Benevia_mod_20250925publikus.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=347945452es347942610&documentName=Benevia_mod_20250925publikus.pdf,Benevia missing point 4 row recovered from latest permit table line 401
Benevia,6300/674-1/2019,alapengedely,paradicsom (hajtatott) tojásgyümölcs (hajtatott),"paradicsommoly, aknázó legyek (Liriomyza spp.)",rovarölő szer,40,ml/hl,300-1500,l/ha,12,89,két leveles állapottól a teljes érésig (BBCH 12-89) januártól decemberig,1,4,7,2027-09-14,Benevia_mod_20250925publikus.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=347945452es347942610&documentName=Benevia_mod_20250925publikus.pdf,Benevia missing point 4 row recovered from latest permit table line 403
Benevia,6300/674-1/2019,alapengedely,paradicsom (hajtatott) tojásgyümölcs (hajtatott),"levéltetvek, üvegházi molytetű, dohányliszteske, gyapottok- bagolylepke, bagolylepkék",rovarölő szer,60-75,ml/hl,300-1500,l/ha,12,89,két leveles állapottól a teljes érésig (BBCH 12-89) januártól decemberig,1,4,7,2027-09-14,Benevia_mod_20250925publikus.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=347945452es347942610&documentName=Benevia_mod_20250925publikus.pdf,Benevia missing point 4 row recovered from latest permit table line 404
Benevia,6300/674-1/2019,alapengedely,paradicsom (hajtatott) tojásgyümölcs (hajtatott),"dohánytripsz, nyugati virágtripsz",rovarölő szer,75-100,ml/hl,300-1500,l/ha,12,89,két leveles állapottól a teljes érésig (BBCH 12-89) januártól decemberig,1,4,7,2027-09-14,Benevia_mod_20250925publikus.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=347945452es347942610&documentName=Benevia_mod_20250925publikus.pdf,Benevia missing point 4 row recovered from latest permit table line 405
Benevia,6300/674-1/2019,alapengedely,tökfélék (hajtatott),aknázó legyek (Liriomyza spp.),rovarölő szer,40,ml/hl,300-1500,l/ha,12,89,két leveles állapottól a teljes érésig (BBCH 12-89) januártól decemberig,1,4,7,2027-09-14,Benevia_mod_20250925publikus.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=347945452es347942610&documentName=Benevia_mod_20250925publikus.pdf,Benevia missing point 4 row recovered from latest permit table line 406
Benevia,6300/674-1/2019,alapengedely,tökfélék (hajtatott),"gyapottok- bagolylepke, bagolylepkék, üvegházi molytetű, dohányliszteske, uborka-levéltetű",rovarölő szer,60-75,ml/hl,300-1500,l/ha,12,89,két leveles állapottól a teljes érésig (BBCH 12-89) januártól decemberig,1,4,7,2027-09-14,Benevia_mod_20250925publikus.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=347945452es347942610&documentName=Benevia_mod_20250925publikus.pdf,Benevia missing point 4 row recovered from latest permit table line 407
Benevia,6300/674-1/2019,alapengedely,tökfélék (hajtatott),"dohánytripsz, nyugati virágtripsz",rovarölő szer,75-100,ml/hl,300-1500,l/ha,12,89,két leveles állapottól a teljes érésig (BBCH 12-89) januártól decemberig,1,4,7,2027-09-14,Benevia_mod_20250925publikus.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=347945452es347942610&documentName=Benevia_mod_20250925publikus.pdf,Benevia missing point 4 row recovered from latest permit table line 408
Benevia,6300/674-1/2019,alapengedely,uborka (hajtatott),aknázó legyek (Liriomyza spp.),rovarölő szer,40,ml/hl,300-1500,l/ha,12,89,két leveles állapottól a teljes érésig (BBCH 12-89) januártól decemberig,1,4,7,2027-09-14,Benevia_mod_20250925publikus.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=347945452es347942610&documentName=Benevia_mod_20250925publikus.pdf,Benevia missing point 4 row recovered from latest permit table line 409
Benevia,6300/674-1/2019,alapengedely,uborka (hajtatott),"gyapottok- bagolylepke, bagolylepkék, üvegházi molytetű, dohányliszteske, uborka-levéltetű",rovarölő szer,60-75,ml/hl,300-1500,l/ha,12,89,két leveles állapottól a teljes érésig (BBCH 12-89) januártól decemberig,1,4,7,2027-09-14,Benevia_mod_20250925publikus.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=347945452es347942610&documentName=Benevia_mod_20250925publikus.pdf,Benevia missing point 4 row recovered from latest permit table line 410
Benevia,6300/674-1/2019,alapengedely,uborka (hajtatott),"dohánytripsz, nyugati virágtripsz",rovarölő szer,75-100,ml/hl,300-1500,l/ha,12,89,két leveles állapottól a teljes érésig (BBCH 12-89) januártól decemberig,1,4,7,2027-09-14,Benevia_mod_20250925publikus.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=347945452es347942610&documentName=Benevia_mod_20250925publikus.pdf,Benevia missing point 4 row recovered from latest permit table line 411
Benevia,6300/674-1/2019,alapengedely,cukkini (hajtatott),aknázó legyek (Liriomyza spp.),rovarölő szer,40,ml/hl,300-1500,l/ha,12,89,két leveles állapottól a teljes érésig (BBCH 12-89) januártól decemberig,1,4,7,2027-09-14,Benevia_mod_20250925publikus.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=347945452es347942610&documentName=Benevia_mod_20250925publikus.pdf,Benevia missing point 4 row recovered from latest permit table line 412
Benevia,6300/674-1/2019,alapengedely,cukkini (hajtatott),"gyapottok- bagolylepke, bagolylepkék, üvegházi molytetű, dohányliszteske, uborka-levéltetű",rovarölő szer,60-75,ml/hl,300-1500,l/ha,12,89,két leveles állapottól a teljes érésig (BBCH 12-89) januártól decemberig,1,4,7,2027-09-14,Benevia_mod_20250925publikus.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=347945452es347942610&documentName=Benevia_mod_20250925publikus.pdf,Benevia missing point 4 row recovered from latest permit table line 413
Benevia,6300/674-1/2019,alapengedely,cukkini (hajtatott),"dohánytripsz, nyugati virágtripsz",rovarölő szer,75-100,ml/hl,300-1500,l/ha,12,89,két leveles állapottól a teljes érésig (BBCH 12-89) januártól decemberig,1,4,7,2027-09-14,Benevia_mod_20250925publikus.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=347945452es347942610&documentName=Benevia_mod_20250925publikus.pdf,Benevia missing point 4 row recovered from latest permit table line 414
Benevia,6300/674-1/2019,alapengedely,"sárgadinnye, görögdinnye (hajtatott)",aknázó legyek (Liriomyza spp.),rovarölő szer,40,ml/hl,300-1500,l/ha,12,89,két leveles állapottól a teljes érésig (BBCH 12-89) januártól decemberig,1,4,7,2027-09-14,Benevia_mod_20250925publikus.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=347945452es347942610&documentName=Benevia_mod_20250925publikus.pdf,Benevia missing point 4 row recovered from latest permit table line 415
Benevia,6300/674-1/2019,alapengedely,"sárgadinnye, görögdinnye (hajtatott)","dohánytripsz, nyugati virágtripsz",rovarölő szer,75-100,ml/hl,300-1500,l/ha,12,89,két leveles állapottól a teljes érésig (BBCH 12-89) januártól decemberig,1,4,7,2027-09-14,Benevia_mod_20250925publikus.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=347945452es347942610&documentName=Benevia_mod_20250925publikus.pdf,Benevia missing point 4 row recovered from latest permit table line 530
Benevia,6300/674-1/2019,alapengedely,fejes saláta (hajtatott),"gyapottok- bagolylepke, bagolylepkék",rovarölő szer,0.6-0.75,l/ha,300-800,l/ha,12,49,két leveles állapottól a végleges fejméretig (BBCH 12-49) januártól decemberig,1,2,7,2027-09-14,Benevia_mod_20250925publikus.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=347945452es347942610&documentName=Benevia_mod_20250925publikus.pdf,Benevia missing point 4 row recovered from latest permit table line 531
Benevia,6300/674-1/2019,alapengedely,szamóca (szabadföldi),"szamóca- bimbólikasztó, apró jegyesbagoly",rovarölő szer,0.75,l/ha,300-1000,l/ha,12,89,két leveles állapottól a 2. betakarítás utánig (BBCH 12-89),1,1,7,2027-09-14,Benevia_mod_20250925publikus.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=347945452es347942610&documentName=Benevia_mod_20250925publikus.pdf,Benevia missing point 4 row recovered from latest permit table line 532
Benevia,6300/674-1/2019,alapengedely,szamóca (hajtatott),"gyapottok- bagolylepke, bagolylepkék",rovarölő szer,60-75,ml/hl,300-1000,l/ha,12,89,a 2. levél kiterülésétől a betakarításig (BBCH 12-89) januártól decemberig,1,2,7,2027-09-14,Benevia_mod_20250925publikus.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=347945452es347942610&documentName=Benevia_mod_20250925publikus.pdf,Benevia missing point 4 row recovered from latest permit table line 533
Benevia,6300/674-1/2019,alapengedely,szamóca (hajtatott),"dohánytripsz, nyugati virágtripsz, szamóca- bimbólikasztó, levéltetvek, foltosszárnyú muslica",rovarölő szer,75-100,ml/hl,300-1000,l/ha,12,89,a 2. levél kiterülésétől a betakarításig (BBCH 12-89) januártól decemberig,1,2,7,2027-09-14,Benevia_mod_20250925publikus.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=347945452es347942610&documentName=Benevia_mod_20250925publikus.pdf,Benevia missing point 4 row recovered from latest permit table line 534
Benevia,6300/674-1/2019,alapengedely,póréhagyma,"dohánytripsz, hagymalégy",rovarölő szer,0.75,l/ha,200-800,l/ha,12,80,két leveles állapottól az érés kezdetéig (BBCH 12-80),,1,7,2027-09-14,Benevia_mod_20250925publikus.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=347945452es347942610&documentName=Benevia_mod_20250925publikus.pdf,Benevia missing point 4 row recovered from latest permit table line 537
Benevia,6300/674-1/2019,alapengedely,"fejes saláta, jégsaláta, endivia, batávia saláta, lollo saláta, római saláta, tépő saláta (szabadföldi)","tripszek, gyapottok- bagolylepke, bagolylepkék",rovarölő szer,0.6-0.75,l/ha,300-800,l/ha,12,49,két leveles állapottól a végleges fejméretig (BBCH 12-49),1,1,7,2027-09-14,Benevia_mod_20250925publikus.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=347945452es347942610&documentName=Benevia_mod_20250925publikus.pdf,Benevia missing point 4 row recovered from latest permit table line 538
Benevia,6300/674-1/2019,alapengedely,"jégsaláta, endivia, batávia saláta, lollo saláta, római saláta, tépő saláta (hajtatott)","tripszek, gyapottok- bagolylepke, bagolylepkék",rovarölő szer,0.6-0.75,l/ha,300-800,l/ha,12,49,két leveles állapottól a végleges fejméretig (BBCH 12-49),1,2,7,2027-09-14,Benevia_mod_20250925publikus.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=347945452es347942610&documentName=Benevia_mod_20250925publikus.pdf,Benevia missing point 4 row recovered from latest permit table line 539
Benevia,6300/674-1/2019,alapengedely,"kínai kel, fodros kel","fehér lepkék, bagolylepkék, káposztamoly",rovarölő szer,0.4-0.5,l/ha,300-800,l/ha,12,49,két lombleveles állapottól a vegetatív növényi részek elérték jellemző méretéig (BBCH 12-49),,1,7,2027-09-14,Benevia_mod_20250925publikus.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=347945452es347942610&documentName=Benevia_mod_20250925publikus.pdf,Benevia missing point 4 row recovered from latest permit table line 609
Benevia,6300/674-1/2019,alapengedely,"kínai kel, fodros kel",közönséges liszteske,rovarölő szer,0.75,l/ha,300-800,l/ha,12,49,két lombleveles állapottól a vegetatív növényi részek elérték jellemző méretéig (BBCH 12-49),,1,7,2027-09-14,Benevia_mod_20250925publikus.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=347945452es347942610&documentName=Benevia_mod_20250925publikus.pdf,Benevia missing point 4 row recovered from latest permit table line 611
Benevia,6300/674-1/2019,alapengedely,"kínai kel, fodros kel",tavaszi káposztalégy,rovarölő szer,0.75,l/ha,300-800,l/ha,12,49,két lombleveles állapottól a vegetatív növényi részek elérték jellemző méretéig (BBCH 12-49),,1,7,2027-09-14,Benevia_mod_20250925publikus.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=347945452es347942610&documentName=Benevia_mod_20250925publikus.pdf,Benevia missing point 4 row recovered from latest permit table line 612
Deltam,04.2/2585-1/2018,alapengedely,Vöröshagyma,levéltetvek,rovarölő szer,8,ml/100m2,10,l/ha,45,45,hagymafej- képződés (BBCH 45),,2,14,2026-10-31,Deltam_szig_0098304_1_20241204_publikus.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=346291229es346268490&documentName=Deltam_szig_0098304_1_20241204_publikus.pdf,Deltam missing point 4 row recovered from latest permit table line 253
Deltam,04.2/2585-1/2018,alapengedely,Vöröshagyma,"aknázó légy, hagymalégy, kártevő lepkék, tripsz",rovarölő szer,5,ml/100m2,10,l/ha,45,45,hagymafej- képződés (BBCH 45),,2,14,2026-10-31,Deltam_szig_0098304_1_20241204_publikus.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=346291229es346268490&documentName=Deltam_szig_0098304_1_20241204_publikus.pdf,Deltam missing point 4 row recovered from latest permit table line 254
Deltam,04.2/2585-1/2018,alapengedely,"Mogyoróhagyma, fokhagyma",levéltetvek,rovarölő szer,8,ml/100m2,10,l/ha,45,45,hagymafej- képződés (BBCH 45),,2,14,2026-10-31,Deltam_szig_0098304_1_20241204_publikus.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=346291229es346268490&documentName=Deltam_szig_0098304_1_20241204_publikus.pdf,Deltam missing point 4 row recovered from latest permit table line 255
Deltam,04.2/2585-1/2018,alapengedely,"Mogyoróhagyma, fokhagyma","aknázó légy, hagymalégy, kártevő lepkék",rovarölő szer,5,ml/100m2,10,l/ha,45,45,hagymafej- képződés (BBCH 45),,2,14,2026-10-31,Deltam_szig_0098304_1_20241204_publikus.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=346291229es346268490&documentName=Deltam_szig_0098304_1_20241204_publikus.pdf,Deltam missing point 4 row recovered from latest permit table line 256
Deltam,04.2/2585-1/2018,alapengedely,"Paradicsom, padlizsán/tojásgyümölcs",levéltetvek,rovarölő szer,8,ml/100m2,10-15,l/ha,82,82,érés kezdete (BBCH 82),,3,14,2026-10-31,Deltam_szig_0098304_1_20241204_publikus.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=346291229es346268490&documentName=Deltam_szig_0098304_1_20241204_publikus.pdf,Deltam missing point 4 row recovered from latest permit table line 257
Deltam,04.2/2585-1/2018,alapengedely,"Paradicsom, padlizsán/tojásgyümölcs","liszteskék, lombrágó hernyók",rovarölő szer,5,ml/100m2,10-15,l/ha,82,82,érés kezdete (BBCH 82),,3,14,2026-10-31,Deltam_szig_0098304_1_20241204_publikus.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=346291229es346268490&documentName=Deltam_szig_0098304_1_20241204_publikus.pdf,Deltam missing point 4 row recovered from latest permit table line 258
Deltam,04.2/2585-1/2018,alapengedely,"Cukkini, uborka/fürtös, berakó csemege uborka/ (szabadföldi és hajtatott)",levéltetvek,rovarölő szer,8,ml/100m2,10-15,l/ha,70,70,termésképződés kezdete (BBCH 70),,3,14,2026-10-31,Deltam_szig_0098304_1_20241204_publikus.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=346291229es346268490&documentName=Deltam_szig_0098304_1_20241204_publikus.pdf,Deltam missing point 4 row recovered from latest permit table line 259
Deltam,04.2/2585-1/2018,alapengedely,"Cukkini, uborka/fürtös, berakó csemege uborka/ (szabadföldi és hajtatott)","liszteskék, lombrágó hernyók",rovarölő szer,5,ml/100m2,10-15,l/ha,70,70,termésképződés kezdete (BBCH 70),,3,14,2026-10-31,Deltam_szig_0098304_1_20241204_publikus.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=346291229es346268490&documentName=Deltam_szig_0098304_1_20241204_publikus.pdf,Deltam missing point 4 row recovered from latest permit table line 260
Deltam,04.2/2585-1/2018,alapengedely,Bimbóskel,levéltetvek,rovarölő szer,8,ml/100m2,10,l/ha,45,45,a bimbók 50 %-a szorosan zárt (BBCH 45),,2,14,2026-10-31,Deltam_szig_0098304_1_20241204_publikus.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=346291229es346268490&documentName=Deltam_szig_0098304_1_20241204_publikus.pdf,Deltam missing point 4 row recovered from latest permit table line 261
Deltam,04.2/2585-1/2018,alapengedely,Bimbóskel,"lombrágó hernyók, aknázó kártevők",rovarölő szer,5,ml/100m2,10,l/ha,45,45,a bimbók 50 %-a szorosan zárt (BBCH 45),,2,14,2026-10-31,Deltam_szig_0098304_1_20241204_publikus.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=346291229es346268490&documentName=Deltam_szig_0098304_1_20241204_publikus.pdf,Deltam missing point 4 row recovered from latest permit table line 262
Deltam,04.2/2585-1/2018,alapengedely,Brokkoli,levéltetvek,rovarölő szer,8,ml/100m2,10,l/ha,53,53,30 %-os főhajtáshossz (BBCH 53),,3,14,2026-10-31,Deltam_szig_0098304_1_20241204_publikus.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=346291229es346268490&documentName=Deltam_szig_0098304_1_20241204_publikus.pdf,Deltam missing point 4 row recovered from latest permit table line 263
Deltam,04.2/2585-1/2018,alapengedely,Brokkoli,"lombrágó hernyók, aknázó kártevők",rovarölő szer,5,ml/100m2,10,l/ha,53,53,30 %-os főhajtáshossz (BBCH 53),,3,14,2026-10-31,Deltam_szig_0098304_1_20241204_publikus.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=346291229es346268490&documentName=Deltam_szig_0098304_1_20241204_publikus.pdf,Deltam missing point 4 row recovered from latest permit table line 264
Deltam,04.2/2585-1/2018,alapengedely,Karfiol (fehér és zöld),levéltetvek,rovarölő szer,8,ml/100m2,10,l/ha,43,43,30 %-os virágzatméret (BBCH 43),,3,14,2026-10-31,Deltam_szig_0098304_1_20241204_publikus.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=346291229es346268490&documentName=Deltam_szig_0098304_1_20241204_publikus.pdf,Deltam missing point 4 row recovered from latest permit table line 265
Deltam,04.2/2585-1/2018,alapengedely,Karfiol (fehér és zöld),"lombrágó hernyók, aknázó kártevők",rovarölő szer,5,ml/100m2,10,l/ha,43,43,30 %-os virágzatméret (BBCH 43),,3,14,2026-10-31,Deltam_szig_0098304_1_20241204_publikus.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=346291229es346268490&documentName=Deltam_szig_0098304_1_20241204_publikus.pdf,Deltam missing point 4 row recovered from latest permit table line 266
Deltam,04.2/2585-1/2018,alapengedely,"Fejes káposzta (fehér, vörös), kelkáposzta, csúcsos káposzta","lombrágó hernyók, aknázó kártevők",rovarölő szer,5,ml/100m2,10,l/ha,45,45,50 %-os fejátmérő (BBCH 45),,2,14,2026-10-31,Deltam_szig_0098304_1_20241204_publikus.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=346291229es346268490&documentName=Deltam_szig_0098304_1_20241204_publikus.pdf,Deltam missing point 4 row recovered from latest permit table line 372
Deltam,04.2/2585-1/2018,alapengedely,Karalábé,"lombrágó hernyók, aknázó kártevők",rovarölő szer,5,ml/100m2,10,l/ha,45,45,50 %-os levéltömeg (BBCH 45),,3,14,2026-10-31,Deltam_szig_0098304_1_20241204_publikus.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=346291229es346268490&documentName=Deltam_szig_0098304_1_20241204_publikus.pdf,Deltam missing point 4 row recovered from latest permit table line 374
Deltam,04.2/2585-1/2018,alapengedely,Saláta (szabadföldi és hajtatott),"levéltetvek, lombrágó hernyók",rovarölő szer,5,ml/100m2,10,l/ha,45,45,50 %-os levéltömeg (BBCH 45),,3,14,2026-10-31,Deltam_szig_0098304_1_20241204_publikus.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=346291229es346268490&documentName=Deltam_szig_0098304_1_20241204_publikus.pdf,Deltam missing point 4 row recovered from latest permit table line 375
Deltam,04.2/2585-1/2018,alapengedely,"Endívia, vörös cikória/radicchio, cukorsüveg endívia (szabadföldi és hajtatott)","levéltetvek, lombrágó hernyók",rovarölő szer,5,ml/100m2,10,l/ha,45,45,50 %-os levéltömeg (BBCH 45),,3,14,2026-10-31,Deltam_szig_0098304_1_20241204_publikus.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=346291229es346268490&documentName=Deltam_szig_0098304_1_20241204_publikus.pdf,Deltam missing point 4 row recovered from latest permit table line 376
